label_name,response
Refund_not_showing_up,Tell me more about what you're facing and I’ll help you out. Let me guide you step-by-step. Let’s begin by heading to your account settings. Shall we get started?
activate_my_card,It seems you’re facing an issue with your card. No worries — I’ve got your back. I recommend starting by checking the relevant section in your app. Ready when you are!
age_limit,Worried about transaction limits? Let me guide you step-by-step. We’ll go through this together — just follow my lead. Shall we get started?
apple_pay_or_google_pay,Tell me more about what you're facing and I’ll help you out. No worries — I’ve got your back. We’ll go through this together — just follow my lead. Shall we get started?
atm_support,ATM giving you trouble? I’m here to sort it out for you. We can take care of this by reviewing your recent activity. Would you like me to do that for you?
automatic_top_up,Tell me more about what you're facing and I’ll help you out. No worries — I’ve got your back. I can also help you raise a service request if needed. Ready when you are!
balance_not_updated_after_bank_transfer,Need to send or receive money? Let me guide you step-by-step. We’ll go through this together — just follow my lead. Would you like me to do that for you?
balance_not_updated_after_cheque_or_cash_deposit,Curious about your account balance? Let me guide you step-by-step. I recommend starting by checking the relevant section in your app. Would you like me to do that for you?
beneficiary_not_allowed,Tell me more about what you're facing and I’ll help you out. No worries — I’ve got your back. Would you like help filing a report or reaching support directly? Want me to walk you through it?
cancel_transfer,Need to send or receive money? No worries — I’ve got your back. I can also help you raise a service request if needed. Want me to walk you through it?
card_about_to_expire,It seems you’re facing an issue with your card. No worries — I’ve got your back. I recommend starting by checking the relevant section in your app. Want me to walk you through it?
card_acceptance,It seems you’re facing an issue with your card. I’m here to sort it out for you. We can take care of this by reviewing your recent activity. Let me know when you’re ready to begin.
card_arrival,It seems you’re facing an issue with your card. I’m here to sort it out for you. I can also help you raise a service request if needed. Want me to walk you through it?
card_delivery_estimate,It seems you’re facing an issue with your card. I’m here to sort it out for you. I can also help you raise a service request if needed. Want me to walk you through it?
card_linking,It seems you’re facing an issue with your card. No worries — I’ve got your back. Let’s begin by heading to your account settings. Shall we get started?
card_not_working,It seems you’re facing an issue with your card. I’m here to sort it out for you. Let’s begin by heading to your account settings. Would you like me to do that for you?
card_payment_fee_charged,It seems you’re facing an issue with your card. Let me guide you step-by-step. Would you like help filing a report or reaching support directly? Shall we get started?
card_payment_not_recognised,It seems you’re facing an issue with your card. I’m here to sort it out for you. Let’s begin by heading to your account settings. Want me to walk you through it?
